Link,Language,Brand/Product,Analyzer,Age,Gender,Region,Language,Religion,Occupation,Wealth/Income
https://www.youtube.com/watch?v=gkz2rHQZYPg,Hindi,Airtel,Aashwin,18-22,-,"Maharashtra, Urban",Hindi,,Student,Middle / Upper-Middle class
https://www.youtube.com/watch?v=1TL9G_Z0vtY,English,Blackberry,Aashwin,35-45,Male,"-, Urban",English,,Businessmen,Upper class
https://www.youtube.com/watch?v=Fgc_poCGT2Q,Hindi,Fevicol,Aashwin,10 - 80+,-,"West India, Rural",Hindi,,-,Lower-Middle class
https://www.youtube.com/watch?v=bz2_XJbKVD0,Hindi,Government of India RTE (Child),Aashwin,7-10,Male,"North India, Rural",Hindi,,Student,Lower class
https://www.youtube.com/watch?v=bz2_XJbKVD0,Hindi,Government of India RTE (Father),Aashwin,30-35,Male,"North India, Rural",Hindi,,Farmer,Lower class
https://www.youtube.com/watch?v=hSfZB4_N9Qk,Hindi,PediaSure (Mothers),Aashwin,25-30,Female,"North India, Urban",Hindi,,Pediatrician?,Upper-Middle class
https://www.youtube.com/watch?v=hSfZB4_N9Qk,Hindi,PediaSure (Toddlers),Aashwin,4-6,Female,"North India, Urban",Hindi,,Student,Upper-Middle class
https://www.youtube.com/watch?v=tQuddKFhfFA,Hindi,Red Label (Neighbour Couple),Aashwin,40-50,-,"North/Central India, Sub-urban",Hindi,Hindu,,Middle class
https://www.youtube.com/watch?v=tQuddKFhfFA,Hindi,Red Label (Neighbour Woman),Aashwin,30-35,Female,"North/Central India, Sub-urban",Hindi,Muslim,,Middle class
https://www.youtube.com/watch?v=cXc0fBOMOkw,Hindi,Tide - Radio Ad,Aashwin,10-14,Male,"-, Sub-urban",Hindi,,Student,Lower / Lower-Middle class
https://youtu.be/71uIeEH8Zuo,Telugu,Arokya Milk,Akhilesh,35-45,"Male,Female",Rural,Telugu,,"Dairy Owner,Farmer",Middle Class
https://youtu.be/4lv7b16kv5U,Telugu,Colgate,Akhilesh,7-11,Female,Urban,Telugu,NA,Student,Upper Middle Class
https://youtu.be/Mk0uu43Pom8,Telugu,Digital India Scholarships(Child),Akhilesh,16-18,Male,Sub-Urban,Telugu,Hindu,Student,Lower Middle Class
https://youtu.be/Mk0uu43Pom8,Telugu,Digital India Scholarships(Father and Mother),Akhilesh,40,"Male,Female",Sub-Urban,Telugu,Hindu,Mostly Private or Government Employee ,Lower Middle Class
https://youtu.be/aI1Ex5TyMC4,Telugu,Fortuen Oil(Student),Akhilesh,13-18,Female,Urban,Telugu,Hindu,Student,Upper Middle Class
https://youtu.be/aI1Ex5TyMC4,Telugu,Fortune Oil(Teacher and Parent),Akhilesh,35-45,Female,Urban,Telugu,Hindu,Teacher,upper Middle Class
https://youtu.be/dfarEq6trCw,Telugu,Synergy Pesticides(Farmer),Akhilesh,Mostly 50-60,Male,Andhra Pradesh- Rural-Village,Telugu,NA,Farmer,Lower Class
https://youtu.be/dfarEq6trCw,Telugu,Synergy Pesticides(Landlord/owner),Akhilesh,65+,Male,Andhra Pradesh- Rural-Village,Telugu,Hindu,Landlord,Upper Middle Class
https://www.youtube.com/watch?v=ZFb01yTR9bA,English,British Airways,Chayan,70,Female,,Hindi-English,,,Upper/Upper-Middle
https://www.youtube.com/watch?v=gerizmHkxXE,Hindi,Facebook,Chayan,30,Female,Urban,Hindi,,Office(MNCs),Upper-Middle/Upper class
https://www.youtube.com/watch?v=wIdU0eYT8p0,Hindi,IDFC First Bank,Chayan,75,Male,,Hindi,,-,Upper/Middle/Lower-Middle class
https://www.youtube.com/watch?v=QCUGSesNhRs,Hindi,Kent,Chayan,"35,65","Male,Female",Urban,"Hindi, Hindi",,"son(office),mother",Middle/Upper-Middle
https://www.youtube.com/watch?v=u1whG-9BjsQ,Hindi,Nescafe,Chayan,30,Male,,Hindi,,Stand-up-comedian,
https://www.youtube.com/watch?v=QUt51UynN8E&t=57s,Hindi,Tarak Mehta ka Oolta Chashma (Iyer),Chayan,,Male,Mumbai,Hindi,,Scientist,Upper/Middle
https://www.youtube.com/watch?v=QUt51UynN8E&t=57s,Hindi,Tarak Mehta ka Oolta Chashma (Jethalal),Chayan,,Male,Mumbai,Hindi,,Businessman,Upper/Middle
https://www.youtube.com/watch?v=CX1Zrk7XMHE,Hindi,Tide,Chayan,50,Male,Rural,Hindi,,Halwai,Lower/Lower-Middle
https://www.youtube.com/watch?v=6AfS-sNujTw,Malayalam,90+ My Tution App,Jerrin,"Child, Middle Age","Male, Female",,Malayalam,,Student,Upper-Middle Class
https://www.youtube.com/watch?v=cJ57uSFLhKc,Malayalam,Byju's App,Jerrin,"Child, Middle Age","Male, Female",,Malayalam,,Student,Upper-Middle Class
https://www.youtube.com/watch?v=mKWGjkADCiw,Malayalam,Byju's App,Jerrin,"Child, Middle Age",Male,,Malayalam,,Student,Upper-Middle Class
https://www.youtube.com/watch?v=OZMsaGbNTTA,Malayalam,Crust N Crumb,Jerrin,"Child, Middle Age","Male, Female",,Malayalam,,Cooking,Lower-Middle Class
https://www.youtube.com/watch?v=2XUOco_ZP2c,Malayalam,Digital India,Jerrin,"Youth, Middle Age","Male, Female",,Malayalam (Dub),,Student,Lower-Middle Class
https://www.youtube.com/watch?v=DoRGDqGm-FA,Malayalam,Kisan Call Centre,Jerrin,,"Male, Female",,Malayalam (Dub),,Farming,Lower Class
