Link,Language,Brand/Product,Analyzer,Phonetic features,Lexical features,Code switching and mixing,Register and jargon usage,Accent,Setting,Clothing,Visual effects,Body Language,Sound Effects
https://www.youtube.com/watch?v=gkz2rHQZYPg,Hindi,Airtel,Aashwin,/r/ -> /ɹ/ [in english environment],,Heavy English code-mixing,"Youth Slangs, Mild vulgarity",Mumbai Accent,College and similar,Modern,,,The ad is a song
https://www.youtube.com/watch?v=1TL9G_Z0vtY,English,Blackberry,Aashwin,"/r/ -> /ɹ/, [list hard-soft consonants..?] ŋg -> ŋ",,,Internet jargon,Upper Class Indian English,"Scenic places, subliminal spaces",Suit,,Laid back,The ad is a song
https://www.youtube.com/watch?v=5t3Kz1KOsuc,Hindi,Dunkin Donuts,Aashwin,,,Medium English Code mixing,,Mumbai Accent,House,Salwar Suit,,Friendly,Sad
https://www.youtube.com/watch?v=5t3Kz1KOsuc,Hindi,Dunkin Donuts,Aashwin,,,Medium English Code mixing,,Mumbai Accent,House,T-Shirt,,Isolated,Sad
https://www.youtube.com/watch?v=Fgc_poCGT2Q,Hindi,Fevicol,Aashwin,/f/ -> /ph/,,Light Marwadi code-mixing,,Rajasthani Accent,Large joint family house,Rajasthani Traditional,,,Folk-like
https://www.youtube.com/watch?v=bz2_XJbKVD0,Hindi,Government of India RTE,Aashwin,,yeh -> ee (sometimes),,,UP / Bihar Accent,Village,"Rural, Worn out shirt-trousers",,,Cheerful
https://www.youtube.com/watch?v=bz2_XJbKVD0,Hindi,Government of India RTE,Aashwin,,Third person for self,,,UP / Bihar Accent,Village,"Rural, Worn out shirt-trousers",,,Cheerful
https://youtu.be/zC04GWZHm44?t=202,Hindi,Maruti Suzuki (PSA),Aashwin,[chutti] /tʃʊt:i/ -> /tʃut:i/,"""baba"", ""-re"" particle",Light English Code mixing,Slight Medical Terms,Eastern Accent,Medium Traffic Road,Shirt and Sweater,,,
https://www.youtube.com/watch?v=hSfZB4_N9Qk,Hindi,PediaSure (Mothers),Aashwin,,,Light English code-mixing,Light Medical Terms in English,Delhi Accent,English medium school,Salwar-suit,Creative Visualisation,Empathatic,"Sad, then cheerful"
https://www.youtube.com/watch?v=hSfZB4_N9Qk,Hindi,PediaSure (Toddlers),Aashwin,,,Light English code-mixing,Light Medical Terms in English,Delhi Accent,English medium school,Uniform,Creative Visualisation,Highly animate,Cheerful
