Timestamp,Enter your age,Enter your educational qualification:,Enter your gender,Enter your region,Enter the state you live in (in India):,Enter your mother tongue,Enter the languages you know,Enter your religion,Enter your occupation,Enter your annual income,"Based on the above ad, how much do you feel the use of language in the ad is similar to your use of language (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours (accent, vocabulary etc.)","Based on the above ad, how much do you feel the use of language in the ad is similar to that of yours (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)","Based on the above ad, how much do you think the language in the ad is similar to that of yours? (accent, vocabulary etc.)"
11/20/2020 19:02:30,18,Higher Secondary,Male,City (Urban),Uttar Pradesh,Hindi,"Hindi, English",Hindu,Student,Less than 5 Lakhs,Similar,Not similar,Highly similar,Highly similar,Not Similar,,,,,
11/21/2020 17:52:16,19,Higher Secondary,Male,City (Urban),West Bengal,Hindi,"English, Hindi",Agnostic,Student,Prefer not to say,Highly similar,Highly similar,Highly similar,Similar,Similar,,,,,
11/21/2020 17:55:30,19,Higher Secondary,Male,Town (Sub-urban),Kerala,Malayalam,"Malayalam, english",Hindu,,Prefer not to say,Similar,Highly similar,,,,,,Similar,Highly similar,Not similar
11/21/2020 17:57:31,19,Higher Secondary,Male,City (Urban),Rajashtan,hindi,marwari and english,hinduism,,Prefer not to say,Similar,Highly similar,Highly similar,Highly similar,Highly similar,,,,,Similar
11/21/2020 17:57:36,19,Higher Secondary,Male,City (Urban),Telengana,Hindi,Hindi english,,,Prefer not to say,Similar,Not similar,Similar,Not similar,,,,,,
11/21/2020 17:57:49,19,Higher Secondary,Male,Town (Sub-urban),Harayana,Hindi,"Hindi, Haryanvi, Punjabi, English",,,Prefer not to say,Not similar,Similar,Highly similar,Similar,Similar,,,,,
11/21/2020 17:58:23,19,Graduate,Male,City (Urban),Kerala,malayalam,hindi english,,,Prefer not to say,Similar,Not similar,Similar,Not similar,Not Similar,,,Similar,Highly similar,Highly similar
11/21/2020 17:59:08,19,Higher Secondary,Male,Town (Sub-urban),Rajashtan,Hindi,"Hindi , marwari , sanskrit , hariyanvi , english , punjabi",Hindu,,Prefer not to say,Highly similar,Similar,Highly similar,Highly similar,Highly similar,Not similar,Not Similar,Not similar,Not similar,Not similar
11/21/2020 18:00:39,19,Higher Secondary,Male,City (Urban),Madhya Pradesh,Hindi,"English, Hindi",Jain,Student,5 Lakhs - 10 Lakhs,Not similar,Not similar,Highly similar,Not similar,,,,,,
11/21/2020 18:01:42,19,Graduate,Male,City (Urban),,Tamil,English Hindi Tamil ,,,Prefer not to say,Not similar,Highly similar,Not similar,Not similar,Not Similar,Not similar,Not Similar,Not similar,Not similar,Not similar
